observation,prescription,month,intervention1,time1,intervention2,time2
1,5.17,1,0,0,0,0
2,5.15,2,0,0,0,0
3,5.2,3,0,0,0,0
4,4.8,4,0,0,0,0
5,5.32,5,0,0,0,0
6,5.05,6,0,0,0,0
7,5.25,7,0,0,0,0
8,4.85,8,0,0,0,0
9,5.15,9,0,0,0,0
10,5.42,10,0,0,0,0
11,4.9,11,0,0,0,0
12,5.68,12,0,0,0,0
13,5.4,13,0,0,0,0
14,5.55,14,0,0,0,0
15,5.15,15,0,0,0,0
16,4.85,16,0,0,0,0
17,5.1,17,0,0,0,0
18,5.1,18,0,0,0,0
19,5,19,0,0,0,0
20,6.2,20,0,0,0,0
21,2.6,21,1,1,0,0
22,2.8,22,1,2,0,0
23,2.75,23,1,3,0,0
24,2.75,24,1,4,0,0
25,2.95,25,1,5,0,0
26,2.8,26,1,6,0,0
27,2.9,27,1,7,0,0
28,2.95,28,1,8,0,0
29,2.85,29,1,9,0,0
30,2.9,30,1,10,0,0
31,2.75,31,1,11,0,0
32,3.85,32,1,12,1,1
33,3.65,33,1,13,1,2
34,3.55,34,1,14,1,3
35,3.75,35,1,15,1,4
36,3.85,36,1,16,1,5
37,3.9,37,1,17,1,6
38,3.55,38,1,18,1,7
39,4.1,39,1,19,1,8
40,3.8,40,1,20,1,9
41,4.1,41,1,21,1,10
42,4.35,42,1,22,1,11
43,4.15,43,1,23,1,12
44,4.65,44,1,24,1,13
45,4.9,45,1,25,1,14
46,4.8,46,1,26,1,15
47,4.45,47,1,27,1,16
48,4.65,48,1,28,1,17
